match_id,season,team1,team2,runs
1426268,2024,Sunrisers Hyderabad,Royal Challengers Bengaluru,549
1422126,2024,Sunrisers Hyderabad,Mumbai Indians,523
1426280,2024,Kolkata Knight Riders,Punjab Kings,523
1426281,2024,Delhi Capitals,Mumbai Indians,504
419137,2009/10,Chennai Super Kings,Rajasthan Royals,469
1426273,2024,Sunrisers Hyderabad,Delhi Capitals,465
1136604,2018,Kolkata Knight Riders,Kings XI Punjab,459
1359512,2023,Lucknow Super Giants,Punjab Kings,458
1082641,2017,Mumbai Indians,Kings XI Punjab,453
1216527,2020/21,Kings XI Punjab,Rajasthan Royals,449
335983,2007/08,Kings XI Punjab,Chennai Super Kings,447
1426269,2024,Kolkata Knight Riders,Rajasthan Royals,447
1426278,2024,Delhi Capitals,Gujarat Titans,444
1359498,2023,Chennai Super Kings,Royal Challengers Bangalore,444
1426274,2024,Kolkata Knight Riders,Royal Challengers Bengaluru,443
1422138,2024,Mumbai Indians,Delhi Capitals,439
1422134,2024,Kolkata Knight Riders,Delhi Capitals,438
1254061,2021,Punjab Kings,Rajasthan Royals,438
1216515,2020/21,Delhi Capitals,Kolkata Knight Riders,438
1254084,2021,Chennai Super Kings,Mumbai Indians,437
501223,2011,Delhi Daredevils,Kings XI Punjab,433
1359493,2023,Sunrisers Hyderabad,Kolkata Knight Riders,433
1359526,2023,Rajasthan Royals,Sunrisers Hyderabad,431
829795,2015,Mumbai Indians,Royal Challengers Bangalore,431
335990,2007/08,Deccan Chargers,Rajasthan Royals,431
1359520,2023,Punjab Kings,Mumbai Indians,430
1178422,2019,Kolkata Knight Riders,Mumbai Indians,430
1426307,2024,Punjab Kings,Sunrisers Hyderabad,429
1304080,2022,Rajasthan Royals,Delhi Capitals,429
734047,2014,Chennai Super Kings,Kings XI Punjab,428
1254088,2021,Mumbai Indians,Sunrisers Hyderabad,428
1304076,2022,Rajasthan Royals,Kolkata Knight Riders,427
1426297,2024,Gujarat Titans,Chennai Super Kings,427
1359516,2023,Rajasthan Royals,Mumbai Indians,426
1359489,2023,Royal Challengers Bangalore,Lucknow Super Giants,425
1426277,2024,Chennai Super Kings,Lucknow Super Giants,423
1254072,2021,Chennai Super Kings,Kolkata Knight Riders,422
1359480,2023,Chennai Super Kings,Lucknow Super Giants,422
1426296,2024,Royal Challengers Bengaluru,Punjab Kings,422
1082632,2017,Delhi Daredevils,Gujarat Lions,422
1426294,2024,Delhi Capitals,Rajasthan Royals,422
1136611,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,422
1359507,2023,Chennai Super Kings,Kolkata Knight Riders,421
1304053,2022,Chennai Super Kings,Lucknow Super Giants,421
1216547,2020/21,Royal Challengers Bangalore,Mumbai Indians,420
419107,2009/10,Mumbai Indians,Rajasthan Royals,420
733987,2014,Kings XI Punjab,Chennai Super Kings,418
1304112,2022,Lucknow Super Giants,Kolkata Knight Riders,418
734007,2014,Sunrisers Hyderabad,Kings XI Punjab,416
1178410,2019,Royal Challengers Bangalore,Kolkata Knight Riders,416
1216496,2020/21,Rajasthan Royals,Chennai Super Kings,416
1136571,2018,Rajasthan Royals,Royal Challengers Bangalore,415
1359505,2023,Punjab Kings,Mumbai Indians,415
1304049,2022,Royal Challengers Bangalore,Punjab Kings,413
548318,2012,Chennai Super Kings,Royal Challengers Bangalore,413
1422121,2024,Kolkata Knight Riders,Sunrisers Hyderabad,412
336033,2007/08,Chennai Super Kings,Rajasthan Royals,412
1136584,2018,Royal Challengers Bangalore,Chennai Super Kings,412
1359538,2023,Delhi Capitals,Punjab Kings,411
1175372,2019,Royal Challengers Bangalore,Kolkata Knight Riders,411
729283,2014,Chennai Super Kings,Kings XI Punjab,411
1359487,2023,Gujarat Titans,Kolkata Knight Riders,411
1426305,2024,Lucknow Super Giants,Mumbai Indians,410
335989,2007/08,Chennai Super Kings,Mumbai Indians,410
980907,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,409
1359531,2023,Mumbai Indians,Gujarat Titans,409
548372,2012,Delhi Daredevils,Royal Challengers Bangalore,409
1426306,2024,Royal Challengers Bengaluru,Chennai Super Kings,409
1304068,2022,Chennai Super Kings,Royal Challengers Bangalore,409
1136590,2018,Chennai Super Kings,Delhi Daredevils,409
