batter,runs,balls_faced,strike_rate
L Wood,9,3,300.0
B Stanlake,5,2,250.0
J Fraser-McGurk,324,139,233.09
R Sai Kishore,13,6,216.67
Umar Gul,39,19,205.26
RS Sodhi,4,2,200.0
R Shepherd,115,62,185.48
Naman Dhir,140,78,179.49
PD Salt,652,368,177.17
Shahid Afridi,81,46,176.09
AD Russell,2465,1407,175.2
I Malhotra,7,4,175.0
TM Head,767,441,173.92
SB Dubey,33,19,173.68
LJ Wright,102,59,172.88
WG Jacks,224,130,172.31
T Stubbs,399,232,171.98
KK Cooper,115,67,171.64
ER Dwivedi,24,14,171.43
AUK Pathan,39,23,169.57
TH David,652,385,169.35
H Klaasen,987,584,169.01
BCJ Cutting,238,141,168.79
K Gowtham,247,148,166.89
KMDN Kulasekara,5,3,166.67
Shivam Sharma,5,3,166.67
Ashutosh Sharma,183,110,166.36
SP Narine,1532,924,165.8
Ramandeep Singh,164,100,164.0
Avesh Khan,41,25,164.0
CR Brathwaite,180,110,163.64
BJ Haddin,18,11,163.64
KJ Abbott,13,8,162.5
N Pooran,1769,1090,162.29
Rashid Khan,536,331,161.93
LS Livingstone,923,571,161.65
Shashank Singh,423,262,161.45
Kamran Akmal,124,77,161.04
AJ Hosein,16,10,160.0
OC McCoy,8,5,160.0
R Ravindra,218,137,159.12
RM Patidar,798,502,158.96
Akash Deep,19,12,158.33
D Pretorius,44,28,157.14
GJ Maxwell,2764,1761,156.96
V Sehwag,2713,1740,155.92
A Raghuvanshi,163,105,155.24
Abhishek Sharma,1369,883,155.04
AP Dole,34,22,154.55
CH Morris,612,397,154.16
RR Rossouw,471,306,153.92
LPC Silva,40,26,153.85
SO Hetmyer,1241,807,153.78
PVD Chameera,43,28,153.57
C Green,699,457,152.95
Abishek Porel,359,235,152.77
Bipul Sharma,187,123,152.03
Dhruv Jurel,347,229,151.53
AB de Villiers,5148,3400,151.41
JM Sharma,723,481,150.31
YBK Jaiswal,1595,1062,150.19
SD Hope,183,122,150.0
TU Deshpande,21,14,150.0
Harmeet Singh,18,12,150.0
MA Wood,12,8,150.0
JC Archer,186,124,150.0
PJ Cummins,510,342,149.12
CH Gayle,4956,3331,148.78
RR Pant,3281,2206,148.73
Arshad Khan,96,65,147.69
PP Shaw,1890,1280,147.66
R Powell,360,244,147.54
KA Pollard,3411,2315,147.34
JC Buttler,3559,2419,147.13
Atharva Taide,247,168,147.02
D Wiese,147,100,147.0
Vivrant Sharma,69,47,146.81
S Dube,1499,1022,146.67
Tilak Varma,1154,787,146.63
P Sahu,19,13,146.15
HH Pandya,2521,1730,145.72
Abdul Samad,574,394,145.69
MJ Lumb,278,191,145.55
P Simran Singh,750,516,145.35
PBB Rajapaksa,276,190,145.26
SA Yadav,3575,2462,145.21
A Ashish Reddy,280,193,145.08
JM Bairstow,1587,1096,144.8
KR Mayers,373,258,144.57
Arjun Tendulkar,13,9,144.44
Misbah-ul-Haq,117,81,144.44
MF Maharoof,177,123,143.9
YK Pathan,3210,2233,143.75
ST Jayasuriya,760,529,143.67
Nithish Kumar Reddy,303,212,142.92
RK Singh,879,617,142.46
Mohammad Nabi,215,151,142.38
LH Ferguson,64,45,142.22
MP Stoinis,1856,1308,141.9
MM Ali,1160,818,141.81
DP Conway,923,651,141.78
HM Amla,575,406,141.63
JA Morkel,967,683,141.58
M Shahrukh Khan,553,391,141.43
MS Gony,99,70,141.43
MK Lomror,526,372,141.4
N Wadhera,350,250,140.0
AU Rashid,21,15,140.0
V Viyaskanth,7,5,140.0
CA Lynn,1317,941,139.96
DA Warner,6537,4682,139.62
SV Samson,4412,3167,139.31
JJ Roy,614,441,139.23
DA Miller,2913,2094,139.11
SN Thakur,306,220,139.09
RN ten Doeschate,326,235,138.72
Sunny Singh,43,31,138.71
B Sai Sudharsan,1018,735,138.5
RA Tripathi,2213,1598,138.49
AN Ahmed,36,26,138.46
B Akhil,76,55,138.18
AC Gilchrist,2046,1483,137.96
SR Watson,3864,2801,137.95
NLTC Perera,421,306,137.58
Harbhajan Singh,824,599,137.56
MS Dhoni,5213,3790,137.55
Yudhvir Singh,22,16,137.5
D Salunkhe,33,24,137.5
ML Hayden,1096,799,137.17
E Lewis,654,477,137.11
RD Gaikwad,2372,1730,137.11
M Morkel,122,89,137.08
S Narwal,37,27,137.04
SK Raina,5513,4025,136.97
BJ Rohrer,193,141,136.88
JR Hopes,417,305,136.72
VR Iyer,1320,966,136.65
F du Plessis,4566,3345,136.5
I Udana,15,11,136.36
JP Faulkner,524,385,136.1
SM Curran,874,643,135.93
Ishan Kishan,2635,1939,135.89
Shubman Gill,3205,2360,135.81
R Parag,1173,865,135.61
DL Chahar,80,59,135.59
DR Smith,2379,1755,135.56
MJ Guptill,265,196,135.2
R Tewatia,1011,748,135.16
KD Karthik,4824,3570,135.13
KP Pietersen,1000,742,134.77
PN Mankad,97,72,134.72
KL Rahul,4680,3474,134.72
N Rana,2621,1946,134.69
BA Stokes,934,695,134.39
Q de Kock,3152,2349,134.18
A Badoni,633,472,134.11
Sikandar Raza,182,136,133.82
D Brevis,230,172,133.72
DAJ Bracewell,12,9,133.33
CRD Fernando,4,3,133.33
P Chopra,8,6,133.33
JPR Scantlebury-Searles,8,6,133.33
AC Blizzard,120,90,133.33
K Upadhyay,12,9,133.33
VRV Singh,4,3,133.33
MA Agarwal,2651,1990,133.22
S Vidyut,145,109,133.03
A Manohar,231,174,132.76
KH Pandya,1643,1239,132.61
C de Grandhomme,297,224,132.59
SE Marsh,2473,1866,132.53
SM Pollock,147,111,132.43
V Kohli,7995,6051,132.13
Rahmanullah Gurbaz,283,215,131.63
TR Birt,75,57,131.58
DJ Mitchell,351,267,131.46
BB McCullum,2857,2176,131.3
JD Ryder,596,455,130.99
M Vohra,1083,828,130.8
A Mithun,34,26,130.77
RG Sharma,6588,5039,130.74
A Symonds,973,745,130.6
RV Uthappa,4942,3784,130.6
AR Patel,1643,1259,130.5
AK Markram,995,764,130.24
SN Khan,578,444,130.18
OA Shah,505,388,130.15
PD Collingwood,203,156,130.13
Ankit Sharma,87,67,129.85
RA Jadeja,2942,2267,129.78
SM Katich,240,185,129.73
Yuvraj Singh,2742,2115,129.65
V Shankar,1110,857,129.52
DJ Bravo,1546,1196,129.26
B Lee,124,96,129.17
DJ Hooda,1455,1127,129.1
SW Billings,497,385,129.09
STR Binny,879,682,128.89
UT Khawaja,127,99,128.28
AJ Finch,2083,1626,128.11
Azhar Mahmood,388,303,128.05
CJ Anderson,538,421,127.79
MR Marsh,665,521,127.64
WP Saha,2929,2296,127.57
AT Rayudu,4325,3391,127.54
KK Nair,1491,1169,127.54
SS Iyer,3123,2449,127.52
SPD Smith,2461,1931,127.45
S Sohal,368,289,127.34
Azmatullah Omarzai,42,33,127.27
LMP Simmons,1079,848,127.24
MW Short,117,92,127.17
CL White,962,757,127.08
S Dhawan,6736,5304,127.0
MC Henriques,996,785,126.88
